"","threshold","method","testing_population","mean_FDR","mean_FPR","mean_FNR","mean_true_positive","mean_false_positive","mean_true_negative","mean_false_negative","plot_legend","overlap_percentage"
"149",3.83673469387755,"JLS","YRI",NA,0,0.99995,0.1,0,2000,1999.9,"JLS(Y&C2Y)",100
"150",4,"JLS","YRI",NA,0,0.99995,0.1,0,2000,1999.9,"JLS(Y&C2Y)",100
"151",-4,"TL","YRI",0.499987496874219,0.99995,0,2000,1999.9,0.1,0,"TL(Y&C2Y)",100
"152",-3.83673469387755,"TL","YRI",0.499974993748437,0.9999,0,2000,1999.8,0.2,0,"TL(Y&C2Y)",100
"153",-3.6734693877551,"TL","YRI",0.499937478116403,0.99975,0,2000,1999.5,0.5,0,"TL(Y&C2Y)",100
"154",-3.51020408163265,"TL","YRI",0.499899962484368,0.9996,0,2000,1999.2,0.8,0,"TL(Y&C2Y)",100
"155",-3.3469387755102,"TL","YRI",0.49979989369059,0.9992,0,2000,1998.4,1.6,0,"TL(Y&C2Y)",100
"156",-3.18367346938776,"TL","YRI",0.499649718507596,0.9986,0,2000,1997.2,2.8,0,"TL(Y&C2Y)",100
"157",-3.02040816326531,"TL","YRI",0.499424217595087,0.99765,5e-05,1999.9,1995.3,4.7,0.1,"TL(Y&C2Y)",100
"158",-2.85714285714286,"TL","YRI",0.498934990524281,0.9957,5e-05,1999.9,1991.4,8.6,0.1,"TL(Y&C2Y)",100
"159",-2.69387755102041,"TL","YRI",0.49814234831201,0.9924,2e-04,1999.6,1984.8,15.2,0.4,"TL(Y&C2Y)",100
"160",-2.53061224489796,"TL","YRI",0.497031228058639,0.98795,0.00025,1999.5,1975.9,24.1,0.5,"TL(Y&C2Y)",100
"161",-2.36734693877551,"TL","YRI",0.495406082003652,0.98145,0.00035,1999.3,1962.9,37.1,0.7,"TL(Y&C2Y)",100
"162",-2.20408163265306,"TL","YRI",0.493215253803501,0.9724,0.00085,1998.3,1944.8,55.2,1.7,"TL(Y&C2Y)",100
"163",-2.04081632653061,"TL","YRI",0.489645112720679,0.95775,0.00175,1996.5,1915.5,84.5,3.5,"TL(Y&C2Y)",100
"164",-1.87755102040816,"TL","YRI",0.485108992232625,0.93915,0.0032,1993.6,1878.3,121.7,6.4,"TL(Y&C2Y)",100
"165",-1.71428571428571,"TL","YRI",0.479118549420867,0.9144,0.0059,1988.2,1828.8,171.2,11.8,"TL(Y&C2Y)",100
"166",-1.55102040816327,"TL","YRI",0.471963652624397,0.88465,0.01025,1979.5,1769.3,230.7,20.5,"TL(Y&C2Y)",100
"167",-1.38775510204082,"TL","YRI",0.462336890421923,0.8455,0.01675,1966.5,1691,309,33.5,"TL(Y&C2Y)",100
"168",-1.22448979591837,"TL","YRI",0.450716974957595,0.7973,0.02835,1943.3,1594.6,405.4,56.7,"TL(Y&C2Y)",100
"169",-1.06122448979592,"TL","YRI",0.436936275796808,0.74395,0.0413,1917.4,1487.9,512.1,82.6,"TL(Y&C2Y)",100
"170",-0.897959183673469,"TL","YRI",0.421039672223524,0.68355,0.06005,1879.9,1367.1,632.9,120.1,"TL(Y&C2Y)",100
"171",-0.734693877551021,"TL","YRI",0.404420238864486,0.6211,0.08535,1829.3,1242.2,757.8,170.7,"TL(Y&C2Y)",100
"172",-0.571428571428572,"TL","YRI",0.384950247970512,0.5529,0.11665,1766.7,1105.8,894.2,233.3,"TL(Y&C2Y)",100
"173",-0.408163265306123,"TL","YRI",0.364334859502854,0.48195,0.1592,1681.6,963.9,1036.1,318.4,"TL(Y&C2Y)",100
"174",-0.244897959183674,"TL","YRI",0.343436092952945,0.413,0.21055,1578.9,826,1174,421.1,"TL(Y&C2Y)",100
"175",-0.0816326530612246,"TL","YRI",0.321992185014626,0.347,0.26945,1461.1,694,1306,538.9,"TL(Y&C2Y)",100
"176",0.0816326530612246,"TL","YRI",0.299917418282959,0.28475,0.33535,1329.3,569.5,1430.5,670.7,"TL(Y&C2Y)",100
"177",0.244897959183673,"TL","YRI",0.276187408822928,0.22735,0.40415,1191.7,454.7,1545.3,808.3,"TL(Y&C2Y)",100
"178",0.408163265306122,"TL","YRI",0.252216258356697,0.1757,0.4792,1041.6,351.4,1648.6,958.4,"TL(Y&C2Y)",100
